Time,Dose_A,Dose_B,Growth,Dosing_Type
6,0.25,0,0.3897,B-A
6,0.25,0,0.3917,B-A
6,0.25,0,0.3877,B-A
6,0.25,0.25,0.3376,B-A
6,0.25,0.25,0.3396,B-A
6,0.25,0.25,0.3356,B-A
6,0.25,0.5,0.3000,B-A
6,0.25,0.5,0.3020,B-A
6,0.25,0.5,0.2980,B-A
6,0.25,1,0.2516,B-A
6,0.25,1,0.2536,B-A
6,0.25,1,0.2496,B-A
6,0.25,2,0.2169,B-A
6,0.25,2,0.2189,B-A
6,0.25,2,0.2149,B-A
6,0.5,0,0.3462,B-A
6,0.5,0,0.3482,B-A
6,0.5,0,0.3442,B-A
6,0.5,0.25,0.3000,B-A
6,0.5,0.25,0.3020,B-A
6,0.5,0.25,0.2980,B-A
6,0.5,0.5,0.2667,B-A
6,0.5,0.5,0.2687,B-A
6,0.5,0.5,0.2647,B-A
6,0.5,1,0.2236,B-A
6,0.5,1,0.2256,B-A
6,0.5,1,0.2216,B-A
6,0.5,2,0.1929,B-A
6,0.5,2,0.1949,B-A
6,0.5,2,0.1909,B-A
6,1,0,0.2900,B-A
6,1,0,0.2920,B-A
6,1,0,0.2880,B-A
6,1,0.25,0.2516,B-A
6,1,0.25,0.2536,B-A
6,1,0.25,0.2496,B-A
6,1,0.5,0.2236,B-A
6,1,0.5,0.2256,B-A
6,1,0.5,0.2216,B-A
6,1,1,0.1875,B-A
6,1,1,0.1895,B-A
6,1,1,0.1855,B-A
6,1,2,0.1617,B-A
6,1,2,0.1637,B-A
6,1,2,0.1597,B-A
6,2,0,0.2500,B-A
6,2,0,0.2520,B-A
6,2,0,0.2480,B-A
6,2,0.25,0.2169,B-A
6,2,0.25,0.2189,B-A
6,2,0.25,0.2149,B-A
6,2,0.5,0.1929,B-A
6,2,0.5,0.1949,B-A
6,2,0.5,0.1909,B-A
6,2,1,0.1617,B-A
6,2,1,0.1637,B-A
6,2,1,0.1597,B-A
6,2,2,0.1396,B-A
6,2,2,0.1416,B-A
6,2,2,0.1376,B-A
